Bike Model,Model Year,Location,Price (Rs),Finance_Available(Yes/No)
Honda Shine 125 Drum OBD2,2024,"Pune, Maharashtra",95000,Yes
Aprilia Storm 125,2021,"Dadar, Mumbai, Maharashtra",60000,Yes
Honda Shine 125 Drum,2023,"Bokaro, Jharkhand",81000,Yes
Yezdi Roadster Dark,2023,"Hyderabad, Telangana",165000,Yes
Aprilia SR 150,2018,"East Delhi, Delhi",61000,Yes
Suzuki Lets 110,2014,"Gajuwaka, Visakhapatnam, Andhra Pradesh",17000,Yes
Yamaha R15 V4,2023,"Machilipatnam, Krishna, Andhra Pradesh",185000,Yes
Bicycle Decathlon,2020,"Bangalore, Karnataka",4000,No
Bajaj Avenger Cruise 220 BS6,2017,"Bhandup, Mumbai, Maharashtra",65000,Yes
TVS Wego,2017,"Pimpri-Chinchwad, Pune, Maharashtra",38000,Yes
Bajaj Freedom 125 NG04 Disc LED,2025,"Gwalior, Madhya Pradesh",110000,Yes
TVS Apache RTR 180,2010,"Ameerpet, Hyderabad, Telangana",25000,Yes
KTM RC 200 GP,2023,"New Delhi, Delhi",155000,Yes
Bajaj Dominar 400 2025,2025,"Mumbai, Maharashtra",200000,Yes
Ola S1X Plus,2024,"Bellandur, Bangalore, Karnataka",60000,Yes
Bajaj Pulsar NS 160,2019,"Noida, Uttar Pradesh",60000,Yes
Bicycle Hercules,2015,"Pune, Maharashtra",10000,No
BMW G 310 R,2021,"Pune, Maharashtra",225000,Yes
Mach City Munich 21 Speed,2019,"KR Puram, Bangalore, Karnataka",8000,Yes
KTM Duke 390,2022,"Rajajinagar, Bangalore, Karnataka",260000,Yes
Honda CBR 250R,2016,"Khordha, Orissa",60000,Yes
Bicycle Keysto,2022,"Bangalore, Karnataka",16000,No
Bajaj Pulsar 150 DTSi,2022,"Ottappalam, Palakkad, Kerala",85000,Yes
Jawa Jawa BS6,2019,"Secunderabad, Hyderabad, Telangana",140000,Yes
TVS Apache RTR 200 4V,2016,"Bangalore, Karnataka",60000,Yes
Royal Enfield Himalayan 452,2024,"Gurgaon, Haryana",325000,Yes
Yamaha FZ-S FI V3,2021,"Surat, Gujarat",95000,Yes
Royal Enfield Classic 350,2017,"Rajouri Garden, West Delhi, Delhi",90000,Yes
Honda CB Hornet 160R,2017,"Jogeshwari, Mumbai, Maharashtra",47000,Yes
TVS XL 100 Heavy Duty i-TOUCHstart,2022,"Alandur, Chennai, Tamil Nadu",45000,Yes
Royal Enfield Meteor 350,2021,"Hyderabad, Telangana",195000,Yes
Honda Rebel 500,2025,"Bangalore, Karnataka",635000,Yes
Royal Enfield Himalayan 450,2024,"Tirupur, Tamil Nadu",295000,Yes
Jawa 42 Dual Channel ABS Orion Red,2020,"Guindy, Chennai, Tamil Nadu",110000,Yes
Bajaj Dominar 400 ABS BS6,2017,"Rohini, North West Delhi, Delhi",90000,Yes
Honda Hness Anniversary Edition,2022,"Bangalore, Karnataka",190000,Yes
Ampere Reo,2020,"Guindy, Chennai, Tamil Nadu",30000,Yes
Royal Enfield Meteor 350 Stellar 2025,2023,"Nagpur, Maharashtra",214000,Yes
,,Maharashtra,75000,Yes
,,"Salem, Tamil Nadu",120000,Yes
TVS Apache RTR 160 4V Special Edition,2023,"Dombivli, Thane, Maharashtra",100000,Yes
Honda Activa 125,2017,"Noida, Uttar Pradesh",35000,Yes
Bajaj Pulsar 220F BS6,2023,"Secunderabad, Hyderabad, Telangana",145000,Yes
Bajaj Chetak Electric,2025,"Pune, Maharashtra",95000,Yes
Honda Activa 5G,2019,"Bangalore, Karnataka",55000,Yes
Yamaha FZ16,2014,"Jaipur, Rajasthan",30000,Yes
Ather 450,2020,"Chennai, Tamil Nadu",55000,Yes
Bajaj Dominar 400 ABS BS6,2017,"Pune, Maharashtra",100000,Yes
Royal Enfield Thunderbird 350,2014,"Bhubaneshwar, Orissa",80000,Yes
Jawa 42 Dual Channel ABS AllStar Black,2021,"Thane, Maharashtra",150000,Yes
Hero Xtreme 125R,2025,"Yelahanka, Bangalore, Karnataka",89999,Yes
