,Brand,Bike Model,Model Year,Price (Rs),Finance_Available(Yes/No),City,State
0,Honda,Honda Shine 125 Drum OBD2,2024.0,95000.0,Yes,Pune, Maharashtra
1,Aprilia,Aprilia Storm 125,2021.0,60000.0,Yes,"Dadar, Mumbai", Maharashtra
2,Honda,Honda Shine 125 Drum,2023.0,81000.0,Yes,Bokaro, Jharkhand
3,Yezdi,Yezdi Roadster Dark,2023.0,165000.0,Yes,Hyderabad, Telangana
4,Aprilia,Aprilia SR 150,2018.0,61000.0,Yes,East Delhi, Delhi
5,Suzuki,Suzuki Lets 110,2014.0,17000.0,Yes,"Gajuwaka, Visakhapatnam", Andhra Pradesh
6,Yamaha,Yamaha R15 V4,2023.0,185000.0,Yes,"Machilipatnam, Krishna", Andhra Pradesh
7,Hero Cycles,Bicycle Decathlon,2020.0,4000.0,No,Bangalore, Karnataka
8,Bajaj,Bajaj Avenger Cruise 220 BS6,2017.0,65000.0,Yes,"Bhandup, Mumbai", Maharashtra
9,TVS,TVS Wego,2017.0,38000.0,Yes,"Pimpri-Chinchwad, Pune", Maharashtra
10,Bajaj,Bajaj Freedom 125 NG04 Disc LED,2025.0,110000.0,Yes,Gwalior, Madhya Pradesh
11,TVS,TVS Apache RTR 180,2010.0,25000.0,Yes,"Ameerpet, Hyderabad", Telangana
12,KTM,KTM RC 200 GP,2023.0,155000.0,Yes,New Delhi, Delhi
13,Bajaj,Bajaj Dominar 400 2025,2025.0,200000.0,Yes,Mumbai, Maharashtra
14,Ola Electric,Ola S1X Plus,2024.0,60000.0,Yes,"Bellandur, Bangalore", Karnataka
15,Bajaj,Bajaj Pulsar NS 160,2019.0,60000.0,Yes,Noida, Uttar Pradesh
16,Hero Cycles,Bicycle Hercules,2015.0,10000.0,No,Pune, Maharashtra
17,BMW,BMW G 310 R,2021.0,225000.0,Yes,Pune, Maharashtra
18,Mach City,Mach City Munich 21 Speed,2019.0,8000.0,Yes,"KR Puram, Bangalore", Karnataka
19,KTM,KTM Duke 390,2022.0,260000.0,Yes,"Rajajinagar, Bangalore", Karnataka
20,Honda,Honda CBR 250R,2016.0,60000.0,Yes,Khordha, Orissa
21,Hero Cycles,Bicycle Keysto,2022.0,16000.0,No,Bangalore, Karnataka
22,Bajaj,Bajaj Pulsar 150 DTSi,2022.0,85000.0,Yes,"Ottappalam, Palakkad", Kerala
23,Jawa,Jawa Jawa BS6,2019.0,140000.0,Yes,"Secunderabad, Hyderabad", Telangana
24,TVS,TVS Apache RTR 200 4V,2016.0,60000.0,Yes,Bangalore, Karnataka
25,Royal Enfield,Royal Enfield Himalayan 452,2024.0,325000.0,Yes,Gurgaon, Haryana
26,Yamaha,Yamaha FZ-S FI V3,2021.0,95000.0,Yes,Surat, Gujarat
27,Royal Enfield,Royal Enfield Classic 350,2017.0,90000.0,Yes,"Rajouri Garden, West Delhi", Delhi
28,Honda,Honda CB Hornet 160R,2017.0,47000.0,Yes,"Jogeshwari, Mumbai", Maharashtra
29,TVS,TVS XL 100 Heavy Duty i-TOUCHstart,2022.0,45000.0,Yes,"Alandur, Chennai", Tamil Nadu
30,Royal Enfield,Royal Enfield Meteor 350,2021.0,195000.0,Yes,Hyderabad, Telangana
31,Honda,Honda Rebel 500,2025.0,635000.0,Yes,Bangalore, Karnataka
32,Royal Enfield,Royal Enfield Himalayan 450,2024.0,295000.0,Yes,Tirupur, Tamil Nadu
33,Jawa,Jawa 42 Dual Channel ABS Orion Red,2020.0,110000.0,Yes,"Guindy, Chennai", Tamil Nadu
34,Bajaj,Bajaj Dominar 400 ABS BS6,2017.0,90000.0,Yes,"Rohini, North West Delhi", Delhi
35,Honda,Honda Hness Anniversary Edition,2022.0,190000.0,Yes,Bangalore, Karnataka
36,Ampere Electric,Ampere Reo,2020.0,30000.0,Yes,"Guindy, Chennai", Tamil Nadu
37,Royal Enfield,Royal Enfield Meteor 350 Stellar 2025,2023.0,214000.0,Yes,Nagpur, Maharashtra
40,TVS,TVS Apache RTR 160 4V Special Edition,2023.0,100000.0,Yes,"Dombivli, Thane", Maharashtra
41,Honda,Honda Activa 125,2017.0,35000.0,Yes,Noida, Uttar Pradesh
42,Bajaj,Bajaj Pulsar 220F BS6,2023.0,145000.0,Yes,"Secunderabad, Hyderabad", Telangana
43,Bajaj,Bajaj Chetak Electric,2025.0,95000.0,Yes,Pune, Maharashtra
44,Honda,Honda Activa 5G,2019.0,55000.0,Yes,Bangalore, Karnataka
45,Yamaha,Yamaha FZ16,2014.0,30000.0,Yes,Jaipur, Rajasthan
46,Ather Energy,Ather 450,2020.0,55000.0,Yes,Chennai, Tamil Nadu
47,Bajaj,Bajaj Dominar 400 ABS BS6,2017.0,100000.0,Yes,Pune, Maharashtra
48,Royal Enfield,Royal Enfield Thunderbird 350,2014.0,80000.0,Yes,Bhubaneshwar, Orissa
49,Jawa,Jawa 42 Dual Channel ABS AllStar Black,2021.0,150000.0,Yes,Thane, Maharashtra
50,Hero,Hero Xtreme 125R,2025.0,89999.0,Yes,"Yelahanka, Bangalore", Karnataka
51,Zelio,Zelio Legender Plus,2025.0,50000.0,Yes,Bhavnagar, Gujarat
52,TVS,TVS Ronin SS,2024.0,120000.0,Yes,"Bhandup, Mumbai", Maharashtra
53,Hero,Hero Splendor Plus Xtec,2023.0,65000.0,Yes,Mumbai, Maharashtra
54,TVS,TVS NTORQ 125,2020.0,45000.0,Yes,Navi Mumbai, Maharashtra
55,Honda,Honda Activa 5G,2018.0,52000.0,Yes,Pune, Maharashtra
56,Hero,Hero Maestro,2013.0,38000.0,Yes,Hyderabad, Telangana
57,Suzuki,Suzuki Intruder 150 FI,2022.0,85000.0,Yes,Bangalore, Karnataka
58,Bajaj,Bajaj Pulsar NS200,2023.0,110000.0,Yes,"Sholinganallur, Chennai", Tamil Nadu
59,Hero,Hero Xtreme 200S,2019.0,50000.0,Yes,Ghaziabad, Uttar Pradesh
60,Yamaha,Yamaha FZ-S FI V3,2019.0,85000.0,Yes,"Dadar, Mumbai", Maharashtra
61,KTM,KTM Duke 200 ABS,2023.0,175000.0,Yes,"Dadar, Mumbai", Maharashtra
62,Bajaj,Bajaj Platina 100 ES,2020.0,55000.0,Yes,Pimpri-Chinchwad, Maharashtra
63,Hero,Hero Maestro Edge,2018.0,30000.0,Yes,Mirzapur, Uttar Pradesh
64,TVS,TVS Apache RTR 200 4V 2020,2020.0,80000.0,Yes,Hyderabad, Telangana
65,Bajaj,Bajaj Pulsar 220F,2016.0,55000.0,Yes,New Delhi, Delhi
66,Ola Electric,Ola S1 Air 2kWh,2023.0,110000.0,Yes,Bangalore, Karnataka
67,Hero,Hero Pleasure,2017.0,30000.0,Yes,Patna, Bihar
68,Jawa,Jawa forty two,2020.0,100000.0,Yes,"Electronic City, Bangalore", Karnataka
69,TVS,TVS Apache RTR 160,2016.0,65000.0,Yes,Pune, Maharashtra
70,TVS,TVS Raider SX,2024.0,90000.0,Yes,Ambedkar Nagar, Uttar Pradesh
71,Yamaha,Yamaha FZ-S FI V3 BS6,2021.0,55000.0,Yes,Jaipur, Rajasthan
72,Royal Enfield,Royal Enfield Classic 350 Dual Channel BS6,2021.0,170000.0,Yes,"Mariahu, Jaunpur", Uttar Pradesh
73,Aprilia,Aprilia SR 160 Std ABS,2021.0,80500.0,Yes,Kolkata, West Bengal
74,Bajaj,Bajaj Dominar 400,2017.0,140000.0,Yes,Medak, Telangana
75,Harley,Harley Davidson Street 750,2020.0,400000.0,Yes,Vadodara, Gujarat
76,Yezdi,Yezdi Roadster Dual Tone,2023.0,180000.0,Yes,Pune, Maharashtra
77,Suzuki,Suzuki Gixxer 150,2025.0,155000.0,Yes,Bangalore, Karnataka
78,Bajaj,Bajaj Discover 125 ST,2012.0,20000.0,Yes,"Tambaram, Chengalpattu", Tamil Nadu
79,Bajaj,Bajaj Pulsar RS 200 ABS,2023.0,150000.0,Yes,"Pimpri-Chinchwad, Pune", Maharashtra
80,Royal Enfield,Royal Enfield Classic 350 BS VI,2018.0,145000.0,Yes,Gurgaon, Haryana
81,Ather Energy,Ather 450X,2022.0,100000.0,Yes,Mumbai, Maharashtra
